state_id,cases,date
23,0,19-01-2020
24,0,19-01-2020
25,0,19-01-2020
26,0,19-01-2020
27,0,19-01-2020
28,0,19-01-2020
29,0,19-01-2020
30,0,19-01-2020
31,0,19-01-2020
32,0,19-01-2020
0,0,19-01-2020
1,0,20-01-2020
2,0,20-01-2020
3,0,20-01-2020
4,0,20-01-2020
7,0,20-01-2020
8,0,20-01-2020
9,0,20-01-2020
5,0,20-01-2020
6,0,20-01-2020
10,0,20-01-2020
11,0,20-01-2020
12,0,20-01-2020
13,0,20-01-2020
14,0,20-01-2020
15,0,20-01-2020
16,0,20-01-2020
17,0,20-01-2020
18,0,20-01-2020
19,0,20-01-2020
20,0,20-01-2020
21,0,20-01-2020
22,0,20-01-2020
23,0,20-01-2020
24,0,20-01-2020
25,0,20-01-2020
26,0,20-01-2020
27,0,20-01-2020
28,0,20-01-2020
29,0,20-01-2020
30,0,20-01-2020
31,0,20-01-2020
32,0,20-01-2020
0,0,20-01-2020
1,0,21-01-2020
2,0,21-01-2020
3,0,21-01-2020
4,0,21-01-2020
7,0,21-01-2020
8,0,21-01-2020
9,0,21-01-2020
5,0,21-01-2020
6,0,21-01-2020
10,0,21-01-2020
11,0,21-01-2020
12,0,21-01-2020
13,0,21-01-2020
14,0,21-01-2020
15,0,21-01-2020
16,0,21-01-2020
17,0,21-01-2020
18,0,21-01-2020
19,0,21-01-2020
20,0,21-01-2020
21,0,21-01-2020
22,0,21-01-2020
23,0,21-01-2020
24,0,21-01-2020
25,0,21-01-2020
26,0,21-01-2020
27,0,21-01-2020
28,0,21-01-2020
29,0,21-01-2020
30,0,21-01-2020
31,0,21-01-2020
32,0,21-01-2020
0,0,21-01-2020
1,0,22-01-2020
2,0,22-01-2020
3,0,22-01-2020
4,0,22-01-2020
7,0,22-01-2020
8,0,22-01-2020
9,0,22-01-2020
5,0,22-01-2020
6,0,22-01-2020
10,0,22-01-2020
11,0,22-01-2020
12,0,22-01-2020
13,0,22-01-2020
14,0,22-01-2020
15,0,22-01-2020
16,0,22-01-2020
17,0,22-01-2020
18,0,22-01-2020
19,0,22-01-2020
20,0,22-01-2020
21,0,22-01-2020
22,0,22-01-2020
23,0,22-01-2020
24,0,22-01-2020
25,0,22-01-2020
26,0,22-01-2020
27,0,22-01-2020
28,0,22-01-2020
29,0,22-01-2020
30,0,22-01-2020
31,0,22-01-2020
32,0,22-01-2020
0,0,22-01-2020
1,0,23-01-2020
2,0,23-01-2020
3,0,23-01-2020
4,0,23-01-2020
7,0,23-01-2020
8,0,23-01-2020
9,0,23-01-2020
5,0,23-01-2020
6,0,23-01-2020
10,0,23-01-2020
11,0,23-01-2020
12,0,23-01-2020
13,0,23-01-2020
14,0,23-01-2020
15,0,23-01-2020
16,0,23-01-2020
17,0,23-01-2020
18,0,23-01-2020
19,0,23-01-2020
20,0,23-01-2020
21,0,23-01-2020
22,0,23-01-2020
23,0,23-01-2020
24,0,23-01-2020
25,0,23-01-2020
26,0,23-01-2020
27,0,23-01-2020
28,0,23-01-2020
29,0,23-01-2020
30,0,23-01-2020
31,0,23-01-2020
32,0,23-01-2020
0,0,23-01-2020
1,0,24-01-2020
2,0,24-01-2020
3,0,24-01-2020
4,0,24-01-2020
7,0,24-01-2020
8,0,24-01-2020
9,0,24-01-2020
5,0,24-01-2020
6,0,24-01-2020
10,0,24-01-2020
11,0,24-01-2020
12,0,24-01-2020
13,0,24-01-2020
14,0,24-01-2020
15,0,24-01-2020
16,0,24-01-2020
17,0,24-01-2020
18,0,24-01-2020
19,0,24-01-2020
20,0,24-01-2020
21,0,24-01-2020
22,0,24-01-2020
23,0,24-01-2020
24,0,24-01-2020
25,0,24-01-2020
26,0,24-01-2020
27,0,24-01-2020
28,0,24-01-2020
29,0,24-01-2020
30,0,24-01-2020
31,0,24-01-2020
32,0,24-01-2020
0,0,24-01-2020
1,0,25-01-2020
2,0,25-01-2020
3,0,25-01-2020
4,0,25-01-2020
7,0,25-01-2020
8,0,25-01-2020
9,0,25-01-2020
5,0,25-01-2020
6,0,25-01-2020
10,0,25-01-2020
11,0,25-01-2020
12,0,25-01-2020
13,0,25-01-2020
14,0,25-01-2020
15,0,25-01-2020
16,0,25-01-2020
17,0,25-01-2020
18,0,25-01-2020
19,0,25-01-2020
20,0,25-01-2020
21,0,25-01-2020
22,0,25-01-2020
23,0,25-01-2020
24,0,25-01-2020
25,0,25-01-2020
26,0,25-01-2020
27,0,25-01-2020
28,0,25-01-2020
29,0,25-01-2020
30,0,25-01-2020
31,0,25-01-2020
32,0,25-01-2020
0,0,25-01-2020
1,0,26-01-2020
2,0,26-01-2020
3,0,26-01-2020
4,0,26-01-2020
7,0,26-01-2020
8,0,26-01-2020
9,0,26-01-2020
5,0,26-01-2020
6,0,26-01-2020
10,0,26-01-2020
11,0,26-01-2020
12,0,26-01-2020
13,0,26-01-2020
14,0,26-01-2020
15,0,26-01-2020
16,0,26-01-2020
17,0,26-01-2020
18,0,26-01-2020
19,0,26-01-2020
20,0,26-01-2020
21,0,26-01-2020
22,0,26-01-2020
23,0,26-01-2020
24,0,26-01-2020
25,0,26-01-2020
26,0,26-01-2020
27,0,26-01-2020
28,0,26-01-2020
29,0,26-01-2020
30,0,26-01-2020
31,0,26-01-2020
32,0,26-01-2020
0,0,26-01-2020
1,0,27-01-2020
2,0,27-01-2020
3,0,27-01-2020
4,0,27-01-2020
7,0,27-01-2020
8,0,27-01-2020
9,0,27-01-2020
5,0,27-01-2020
6,0,27-01-2020
10,0,27-01-2020
11,0,27-01-2020
12,0,27-01-2020
13,0,27-01-2020
14,0,27-01-2020
15,0,27-01-2020
16,0,27-01-2020
17,0,27-01-2020
18,0,27-01-2020
19,0,27-01-2020
20,0,27-01-2020
21,0,27-01-2020
22,0,27-01-2020
23,0,27-01-2020
24,0,27-01-2020
25,0,27-01-2020
26,0,27-01-2020
27,0,27-01-2020
28,0,27-01-2020
29,0,27-01-2020
30,0,27-01-2020
31,0,27-01-2020
32,0,27-01-2020
0,0,27-01-2020
1,0,28-01-2020
2,0,28-01-2020
3,0,28-01-2020
4,0,28-01-2020
7,0,28-01-2020
8,0,28-01-2020
9,0,28-01-2020
5,1,28-01-2020
6,0,28-01-2020
10,0,28-01-2020
11,0,28-01-2020
12,0,28-01-2020
13,0,28-01-2020
14,0,28-01-2020
15,0,28-01-2020
16,0,28-01-2020
17,0,28-01-2020
18,0,28-01-2020
19,0,28-01-2020
20,0,28-01-2020
21,0,28-01-2020
22,0,28-01-2020
23,0,28-01-2020
24,0,28-01-2020
25,0,28-01-2020
26,0,28-01-2020
27,0,28-01-2020
28,0,28-01-2020
29,0,28-01-2020
30,0,28-01-2020
31,0,28-01-2020
32,0,28-01-2020
0,1,28-01-2020
1,0,29-01-2020
2,0,29-01-2020
3,0,29-01-2020
4,0,29-01-2020
7,0,29-01-2020
8,0,29-01-2020
9,0,29-01-2020
5,0,29-01-2020
6,0,29-01-2020
10,0,29-01-2020
11,0,29-01-2020
12,0,29-01-2020
13,0,29-01-2020
14,0,29-01-2020
15,0,29-01-2020
16,0,29-01-2020
17,0,29-01-2020
18,0,29-01-2020
19,0,29-01-2020
20,0,29-01-2020
21,0,29-01-2020
22,0,29-01-2020
23,0,29-01-2020
24,0,29-01-2020
25,1,29-01-2020
26,0,29-01-2020
27,0,29-01-2020
